chr19:15778978-15778978	chr19:15917978-15917978
chr1:203223195-203223195	chr1:204956572-204956572
chr6:73843828-73843828	chr6:73787107-73787107
chr1:29264233-29264233	chr1:29391646-29391646
chr6:144825498-144825498	chr6:144783805-144783805
chr3:79070707-79070707	chr3:78988017-78988017
chrX:127013011-127013011	chrX:127185330-127185330
chr11:56495488-56495488	chr11:56738912-56738912
chr16:11565960-11565961	chr16:11658459-11658460
chr12:54906418-54906418	chr12:56620151-56620151
chr11:60374338-60374338	chr11:60617762-60617762
chr6:70910875-70910875	chr6:70854154-70854154
chr11:55344115-55344115	chr11:55587539-55587539
chr14:85158959-85158959	chr14:86089206-86089206
chr11:120505971-120505971	chr11:121000761-121000761
chr10:18152243-18152243	chr10:18112237-18112237
chr5:7748868-7748868	chr5:7695868-7695868
chr5:1494484-1494484	chr5:1441484-1441484
chr12:52211826-52211826	chr12:53925559-53925559
chr7:136726556-136726556	chr7:137076016-137076016
chr11:122336901-122336901	chr11:122831691-122831691
chr20:1863398-1863398	chr20:1915398-1915398
chr2:237154758-237154758	chr2:237490019-237490019
chrX:128430549-128430549	chrX:128602868-128602868
chr19:6284533-6284533	chr19:6333533-6333533
chr12:13719977-13719977	chr12:13828710-13828710
chr2:85516079-85516079	chr2:85662568-85662568
chr6:31131071-31131078	chr6:31023092-31023099
chr22:35024985-35024985	chr22:36695039-36695039
chr7:91341435-91341435	chr7:91503499-91503499
chrX:30164590-30164590	chrX:30254669-30254669
chr13:24721461-24721461	chr13:25823461-25823461
chr1:103923604-103923604	chr1:104122081-104122081
chr7:100223498-100223532	chr7:100385562-100385596
chr5:39324698-39324698	chr5:39288941-39288941
chr1:99544773-99544773	chr1:99772185-99772185
chr20:1093091-1093091	chr20:1145091-1145091
chr1:154780595-154780595	chr1:156513971-156513971
chr4:157083867-157083867	chr4:156864417-156864417
chr12:6708712-6708712	chr12:6838451-6838451
chr1:16226980-16226980	chr1:16354393-16354393
chr17:7520253-7520253	chr17:7579528-7579528
chr9:115225513-115225513	chr9:116185692-116185692
chr15:72351107-72351107	chr15:74564054-74564054
chr17:27373032-27373032	chr17:30348919-30348919
chr8:113345216-113345216	chr8:113276040-113276040
chr17:30337178-30337178	chr17:33313065-33313065
chr16:21641722-21641731	chr16:21734221-21734230
chrX:127676701-127676701	chrX:127849020-127849020
chr12:42056707-42056707	chr12:43770440-43770440
chr1:234456416-234456416	chr1:236389793-236389793
chr15:19942200-19942200	chr15:22440836-22440836
chr12:75578492-75578492	chr12:77054361-77054361
chr5:132262719-132262719	chr5:132234820-132234820
chr2:212286594-212286594	chr2:212578349-212578349
chr6:155619863-155619863	chr6:155578171-155578171
chr1:52519922-52519922	chr1:52747334-52747334
chrX:152826536-152826536	chrX:153173342-153173342
chr20:57996011-57996011	chr20:58562616-58562616
chr1:45226901-45226901	chr1:45454314-45454314
chr11:92172907-92172907	chr11:92533259-92533259
chr10:87474409-87474409	chr10:87484429-87484429
chrX:51255956-51255956	chrX:51239216-51239216
chr12:51457047-51457047	chr12:53170780-53170780
chrX:30178968-30178968	chrX:30269047-30269047
chr12:32646416-32646416	chr12:32755149-32755149
chr22:28054827-28054827	chr22:29724827-29724827
chr4:155939585-155939585	chr4:155720135-155720135
chr12:52862464-52862464	chr12:54576197-54576197
chr11:64276032-64276032	chr11:64519456-64519456
chr1:204391710-204391710	chr1:206225087-206225087
chr7:154391599-154391599	chr7:154760666-154760666
chr20:30216816-30216816	chr20:30753155-30753155
chr4:52556138-52556138	chr4:52861381-52861381
chr14:76977164-76977164	chr14:77907411-77907411
chr11:10604605-10604605	chr11:10648029-10648029
chr1:114182382-114182382	chr1:114380859-114380859
chr7:6179864-6179864	chr7:6213339-6213339
chr17:70461986-70461986	chr17:72950391-72950391
chr7:201276-201276	chr7:106193-106193
chr16:65912162-65912162	chr16:67354661-67354661
chr5:138173685-138173685	chr5:138145786-138145786
chr4:68066638-68066638	chr4:68384043-68384043
chr2:164176481-164176481	chr2:164468235-164468235
chr3:38901842-38901842	chr3:38926838-38926838
chr2:29269704-29269704	chr2:29416200-29416200
chr10:85971746-85971746	chr10:85981766-85981766
chr19:50873003-50873003	chr19:46181163-46181163
chr4:167144013-167144013	chr4:166924563-166924563
chr1:12778699-12778699	chr1:12856112-12856112
chr7:86919044-86919044	chr7:87081108-87081108
chr1:165361676-165361676	chr1:167095052-167095052
chr7:141290228-141290228	chr7:141643759-141643759
chr22:22913262-22913262	chr22:24583262-24583262
chr11:61426543-61426543	chr11:61669967-61669967
chr6:33144844-33144844	chr6:33036866-33036866
chr8:61936169-61936169	chr8:61773615-61773615
chr12:10059576-10059592	chr12:10168309-10168325
chr3:57480760-57480760	chr3:57505720-57505720
chr3:112839666-112839666	chr3:111356976-111356976
chr2:179187895-179187895	chr2:179479650-179479650
chr14:35910384-35910384	chr14:36840633-36840633
chr7:29072165-29072165	chr7:29105640-29105640
chrX:107863872-107863872	chrX:107977216-107977216
chrX:125126579-125126579	chrX:125298898-125298898
chr4:101561483-101561483	chr4:101342460-101342460
chr16:69728753-69728753	chr16:71171252-71171252
chr10:122882546-122882546	chr10:122892556-122892556
chr15:64643003-64643003	chr15:66855949-66855949
chr16:1829264-1829264	chr16:1889263-1889263
chr11:60391639-60391639	chr11:60635063-60635063
chr17:71357283-71357283	chr17:73845688-73845688
chr6:27907037-27907037	chr6:27799058-27799058
chr22:35042630-35042630	chr22:36712684-36712684
chr8:114360090-114360090	chr8:114290914-114290914
chr20:51306468-51306468	chr20:51873061-51873061
chr1:225143349-225143349	chr1:227076726-227076726
chr3:101756851-101756851	chr3:100274161-100274161
chr1:118250672-118250672	chr1:118449149-118449149
chr6:56612065-56612065	chr6:56504106-56504106
chr15:77041567-77041567	chr15:79254512-79254512
chr5:112201764-112201764	chr5:112173865-112173865
chr17:34927320-34927322	chr17:37673794-37673796
chr4:124542774-124542774	chr4:124323324-124323324
chr12:32025660-32025660	chr12:32134393-32134393
chrX:38067111-38067111	chrX:38182167-38182167
chr9:720134-720134	chr9:730134-730134
chr9:6243593-6243593	chr9:6253593-6253593
chr15:23004393-23004393	chr15:25453300-25453300
chr12:132098048-132098048	chr12:133587975-133587975
chr11:366331-366331	chr11:376331-376331
chr1:5944488-5944488	chr1:6021901-6021901
chr14:20179469-20179469	chr14:21109629-21109629
chr2:135462112-135462112	chr2:135745642-135745642
chr19:8948849-8948849	chr19:9087849-9087849
chr7:150186891-150186891	chr7:150555958-150555958
chr3:101052248-101052248	chr3:99569558-99569558
chr6:109921981-109921981	chr6:109815288-109815288
chr4:145646-145646	chr4:155646-155646
chr1:150550377-150550377	chr1:152283753-152283753
chr1:23986379-23986379	chr1:24113792-24113792
chr2:179441151-179441151	chr2:179732906-179732906
chr3:48395934-48395934	chr3:48420930-48420930
chr5:140533294-140533294	chr5:140553110-140553110
chr6:170468537-170468537	chr6:170626612-170626612
chr1:181353904-181353904	chr1:183087281-183087281
chrX:105742404-105742404	chrX:105855748-105855748
chr10:124912337-124912337	chr10:124922347-124922347
chr20:52078463-52078463	chr20:52645056-52645056
chr20:17529545-17529545	chr20:17581545-17581545
chr22:30337135-30337135	chr22:32007135-32007135
chr5:115205210-115205210	chr5:115177311-115177311
chr4:53951501-53951501	chr4:54256744-54256744
chr9:102252866-102252866	chr9:103213045-103213045
chr20:56679757-56679757	chr20:57246351-57246351
chr1:150550016-150550016	chr1:152283392-152283392
chr7:55426979-55426979	chr7:55459485-55459485
chr5:72504845-72504845	chr5:72469089-72469089
chr19:61425891-61425891	chr19:56734079-56734079
chr5:24528695-24528695	chr5:24492938-24492938
chr14:105508082-105508119	chr14:106437037-106437074
chrX:41531380-41531380	chrX:41646436-41646436
chr1:150457932-150457932	chr1:152191308-152191308
chr11:124270763-124270763	chr11:124765553-124765553
chr19:57561780-57561780	chr19:52869968-52869968
chr3:158348847-158348847	chr3:156866153-156866153
chr16:67451862-67451862	chr16:68894361-68894361
chr4:71289977-71289977	chr4:71255388-71255388
chr1:144273489-144273489	chr1:145562132-145562132
chr22:36450055-36450055	chr22:38120109-38120109
chrX:47585979-47585979	chrX:47701035-47701035
chr14:64318980-64318980	chr14:65249227-65249227
chr7:24840697-24840697	chr7:24874172-24874172
chr3:185340999-185340999	chr3:183858305-183858305
chr10:88436876-88436876	chr10:88446896-88446896
chr19:40407790-40407790	chr19:35715950-35715950
chr5:140462682-140462682	chr5:140482498-140482498
chr1:892003-892003	chr1:902140-902140
chr10:85982376-85982376	chr10:85992396-85992396
chr10:5988413-5988413	chr10:5948407-5948407
chr6:160947632-160947632	chr6:161027642-161027642
chr5:140574541-140574541	chr5:140594357-140594357
chr2:240602868-240602868	chr2:240954195-240954195
chr15:41288264-41288264	chr15:43500972-43500972
chr21:13973879-13973879	chr21:15052008-15052008
chr6:70699464-70699464	chr6:70642743-70642743
chr5:78452047-78452047	chr5:78416291-78416291
chr12:63523492-63523492	chr12:65237225-65237225
chr2:87806810-87806810	chr2:88025695-88025695
chr18:29079299-29079299	chr18:30825301-30825301
chrX:13637312-13637312	chrX:13727391-13727391
chr12:56476573-56476573	chr12:58190306-58190306
chr8:53211716-53211716	chr8:53049163-53049163
chr11:68463615-68463615	chr11:68707039-68707039
chr4:90254355-90254355	chr4:90035332-90035332
chr3:45918019-45918019	chr3:45943015-45943015
chr2:108736359-108736359	chr2:109369927-109369927
chr20:2545941-2545941	chr20:2597941-2597941
chr15:49484226-49484226	chr15:51696934-51696934
chr2:225343266-225343266	chr2:225635022-225635022
chr17:44218616-44218616	chr17:46863617-46863617
chr10:17241177-17241177	chr10:17201171-17201171
chr8:87231528-87231528	chr8:87162412-87162412
chr7:6765260-6765260	chr7:6798735-6798735
chrX:109582943-109582943	chrX:109696287-109696287
chr17:27346842-27346842	chr17:30322729-30322729
chr9:136722745-136722745	chr9:137582924-137582924
chr1:153967803-153967803	chr1:155701179-155701179
chr17:7518915-7518915	chr17:7578190-7578190
chr2:162573358-162573358	chr2:162865112-162865112
chr1:109607361-109607361	chr1:109805838-109805838
chr12:52104899-52104899	chr12:53818632-53818632
chr8:144478981-144478983	chr8:144407606-144407608
chr5:7920144-7920144	chr5:7867144-7867144
chr6:30565631-30565631	chr6:30457652-30457652
chr6:39386734-39386734	chr6:39278756-39278756
chrX:9671702-9671702	chrX:9711702-9711702
chr5:1651162-1651162	chr5:1598162-1598162
chr3:127307334-127307334	chr3:125824644-125824644
chrX:27389348-27389348	chrX:27479427-27479427
chr3:39159573-39159573	chr3:39184569-39184569
chr6:32264079-32264079	chr6:32156101-32156101
chr5:149806650-149806660	chr5:149826457-149826467
chrX:565488-565492	chrX:645488-645492
chr3:46282414-46282414	chr3:46307410-46307410
chr12:39613789-39613789	chr12:41327522-41327522
chr7:143186870-143186870	chr7:143555937-143555937
chr15:55332904-55332904	chr15:57545612-57545612
chr17:61169701-61169701	chr17:63739239-63739239
chrX:101459060-101459060	chrX:101572404-101572404
chr1:229431545-229431545	chr1:231364922-231364922
chr11:60227464-60227464	chr11:60470888-60470888
chr8:121329084-121329084	chr8:121259903-121259903
chr3:17027699-17027699	chr3:17052695-17052695
chr1:180836098-180836098	chr1:182569475-182569475
chr19:10085596-10085596	chr19:10224596-10224596
chr2:106487182-106487182	chr2:107120750-107120750
chr4:91075226-91075226	chr4:90856203-90856203
chr12:76749415-76749415	chr12:78225284-78225284
chr2:87011257-87011257	chr2:87157746-87157746
chr5:6796882-6796882	chr5:6743882-6743882
chr15:72151021-72151021	chr15:74363968-74363968
chr19:2885297-2885297	chr19:2934297-2934297
chr19:16952434-16952434	chr19:17091434-17091434
chr9:71975236-71975236	chr9:72785416-72785416
chr2:219872710-219872710	chr2:220164466-220164466
chr9:7468285-7468285	chr9:7478285-7478285
chr19:11215520-11215520	chr19:11354520-11354520
chr16:52240476-52240476	chr16:53682975-53682975
chr2:162807680-162807680	chr2:163099434-163099434
chr6:167490875-167490875	chr6:167570885-167570885
chr17:7520316-7520316	chr17:7579591-7579591
chr12:6897467-6897467	chr12:7027206-7027206
chr7:100464650-100464650	chr7:100677930-100677930
chr6:108432524-108432524	chr6:108325831-108325831
chr22:36296573-36296573	chr22:37966627-37966627
chr5:62108612-62108612	chr5:62072856-62072856
chr6:32278063-32278063	chr6:32170085-32170085
chr19:61256870-61256870	chr19:56565058-56565058
chrX:46971037-46971037	chrX:47086093-47086093
chr3:15090829-15090829	chr3:15115825-15115825
chr6:69722803-69722803	chr6:69666082-69666082
chrMT:15542-15542	NA
chr5:78112074-78112074	chr5:78076318-78076318
chr11:68430202-68430202	chr11:68673626-68673626
chr6:38918548-38918548	chr6:38810570-38810570
chr9:135369596-135369596	chr9:136379775-136379775
chr20:20434158-20434158	chr20:20486158-20486158
chr2:74608122-74608122	chr2:74754614-74754614
chr6:33281425-33281425	chr6:33173447-33173447
chr6:129461144-129461144	chr6:129419451-129419451
chr1:208482122-208482122	chr1:210415499-210415499
chr2:128416062-128416062	chr2:128699592-128699592
chr12:55003124-55003124	chr12:56716857-56716857
chr15:20406624-20406624	chr15:22855183-22855183
chr19:43778138-43778138	chr19:39086298-39086298
chr19:43492095-43492095	chr19:38800255-38800255
chr3:139332631-139332631	chr3:137849941-137849941
chr1:47176385-47176385	chr1:47403798-47403798
chr6:71252645-71252645	chr6:71195924-71195924
chr6:43591679-43591679	chr6:43483701-43483701
chr8:53234148-53234148	chr8:53071595-53071595
chr10:117875045-117875045	chr10:117885055-117885055
chr17:36559437-36559437	chr17:39305911-39305911
chr6:42264375-42264375	chr6:42156397-42156397
chr1:86686003-86686003	chr1:86913415-86913415
chr11:5656241-5656241	chr11:5699665-5699665
chr11:65067575-65067575	chr11:65310999-65310999
chr19:50285352-50285352	chr19:45593512-45593512
chrX:53239121-53239121	chrX:53222396-53222396
chr12:66905768-66905768	chr12:68619501-68619501
chr7:158404322-158404322	chr7:158711561-158711561
chr4:46689650-46689650	chr4:46994893-46994893
chr6:34500851-34500851	chr6:34392873-34392873
chr2:27229094-27229094	chr2:27375590-27375590
chrY:11960754-11960754	chrY:13500754-13500754
chr17:75880020-75880020	chr17:78265425-78265425
chr11:66217123-66217123	chr11:66460547-66460547
chr7:66388750-66388750	chr7:66751315-66751315
chr2:182486843-182486843	chr2:182778598-182778598
chr2:112283187-112283187	chr2:112566716-112566716
chr1:109326919-109326919	chr1:109525396-109525396
chrX:149390379-149390379	chrX:149639721-149639721
chr14:104793820-104793820	chr14:105722775-105722775
chr10:118391637-118391637	chr10:118401647-118401647
chr11:14457810-14457812	chr11:14501234-14501236
chr14:63222851-63222851	chr14:64153098-64153098
chr16:66836855-66836855	chr16:68279354-68279354
chr9:102388274-102388274	chr9:103348453-103348453
chr22:37211928-37211928	chr22:38881982-38881982
chr15:40490438-40490438	chr15:42703146-42703146
chr10:92665915-92665915	chr10:92675935-92675935
chr12:4078213-4078213	chr12:4207952-4207952
chr19:10196250-10196250	chr19:10335250-10335250
chr7:16471785-16471785	chr7:16505260-16505260
chr16:4949297-4949297	chr16:5009296-5009296
chr20:42565928-42565928	chr20:43132514-43132514
chr12:51167967-51167967	chr12:52881700-52881700
chr6:33279464-33279464	chr6:33171486-33171486
chr19:58485435-58485435	chr19:53793623-53793623
chrX:120010779-120010779	chrX:120183098-120183098
chr11:35641751-35641751	chr11:35685175-35685175
chr11:71583984-71583984	chr11:71906336-71906336
chr12:51893628-51893628	chr12:53607361-53607361
chr1:23520724-23520724	chr1:23648137-23648137
chr1:55284868-55284868	chr1:55512280-55512280
chr1:41043303-41043303	chr1:41270716-41270716
chr15:21363428-21363428	chr15:23812335-23812335
chr1:33763088-33763088	chr1:33990501-33990501
chr11:76049002-76049002	chr11:76371354-76371354
chrX:51661538-51661538	chrX:51644798-51644798
chr12:7734120-7734120	chr12:7842853-7842853
chr1:77536117-77536117	chr1:77763529-77763529
chr2:200528797-200528797	chr2:200820552-200820552
chr17:44945125-44945125	chr17:47590126-47590126
chr17:6289191-6289191	chr17:6348467-6348467
chr2:128474172-128474172	chr2:128757702-128757702
chr18:29573054-29573054	chr18:31319056-31319056
chr3:18365876-18365876	chr3:18390872-18390872
chr12:91339069-91339069	chr12:92814938-92814938
chr9:15458838-15458838	chr9:15468838-15468838
chrX:3017646-3017646	chrX:3007646-3007646
chr11:47289922-47289922	chr11:47333346-47333346
chr3:38867073-38867073	chr3:38892069-38892069
chr9:32624143-32624143	chr9:32634143-32634143
chr14:57781406-57781406	chr14:58711653-58711653
chr9:113433783-113433783	chr9:114393962-114393962
chr19:5562182-5562182	chr19:5611182-5611182
chr3:64557582-64557582	chr3:64582542-64582542
chr3:181075854-181075854	chr3:179593160-179593160
chr12:12953092-12953092	chr12:13061825-13061825
chr5:167607113-167607113	chr5:167674535-167674535
chr6:48084560-48084560	chr6:47976601-47976601
chr3:120830390-120830390	chr3:119347700-119347700
chr4:15148811-15148811	chr4:15539713-15539713
chr16:68283210-68283210	chr16:69725709-69725709
chr5:174088884-174088884	chr5:174156278-174156278
chr2:73161732-73161737	chr2:73308224-73308229
chr1:151676297-151676297	chr1:153409673-153409673
chr3:127337141-127337141	chr3:125854451-125854451
chr1:77655984-77655984	chr1:77883396-77883396
chr6:111303022-111303022	chr6:111196329-111196329
chr17:4664759-4664759	chr17:4717793-4717793
chr1:91581615-91581615	chr1:91809027-91809027
chr7:44682330-44682330	chr7:44715805-44715805
chr5:140849352-140849352	chr5:140869168-140869168
chr18:62323431-62323431	chr18:64172451-64172451
chr1:194913268-194913268	chr1:196646645-196646645
chr2:71507122-71507122	chr2:71653614-71653614
chr3:126203416-126203416	chr3:124720726-124720726
chr18:10662706-10662706	chr18:10672706-10672706
chrX:66859543-66859543	chrX:66942818-66942818
chr16:52417440-52417440	chr16:53859939-53859939
chr20:9350041-9350041	chr20:9402041-9402041
chr1:26668091-26668091	chr1:26795504-26795504
chr3:154036615-154036615	chr3:152553925-152553925
chr9:110680782-110680782	chr9:111640961-111640961
chrMT:4559-4559	NA
chr15:21362151-21362151	chr15:23811058-23811058
chr2:71654853-71654853	chr2:71801345-71801345
chr1:109605997-109605997	chr1:109804474-109804474
chr11:66016919-66016919	chr11:66260343-66260343
chr1:43686365-43686365	chr1:43913778-43913778
chr14:105307056-105307056	chr14:106236011-106236011
chr20:29883601-29883601	chr20:30419940-30419940
chr3:132231399-132231399	chr3:130748709-130748709
chr21:30886946-30886946	chr21:31965075-31965075
chr1:239996218-239996218	chr1:241929595-241929595
chr19:6378481-6378481	chr19:6427481-6427481
chrX:152784148-152784148	chrX:153130954-153130954
chr12:105157553-105157553	chr12:106633423-106633423
chr19:15921236-15921236	chr19:16060236-16060236
chr2:96174317-96174317	chr2:96810590-96810590
chr15:32569350-32569350	chr15:34782058-34782058
chr15:87254074-87254074	chr15:89453070-89453070
chr3:155629847-155629847	chr3:154147153-154147153
chr5:10311338-10311338	chr5:10258338-10258338
chr1:179060573-179060573	chr1:180793950-180793950
chrX:50229960-50229960	chrX:50213220-50213220
chr10:121541030-121541030	chr10:121551040-121551040
chr2:48768595-48768595	chr2:48915091-48915091
chr15:22758418-22758418	chr15:25207325-25207325
chr8:145554521-145554521	chr8:145583713-145583713
chr9:129309387-129309392	chr9:130269566-130269571
chrX:53592989-53592989	chrX:53576264-53576264
chr22:21853956-21853956	chr22:23523956-23523956
chr5:13841871-13841871	chr5:13788871-13788871
chr6:33516561-33516561	chr6:33408583-33408583
chr11:104324552-104324552	chr11:104819342-104819342
chr6:116891502-116891502	chr6:116784809-116784809
chr15:89612790-89612790	chr15:91811786-91811786
chr15:40643344-40643344	chr15:42856052-42856052
chr16:11899212-11899212	chr16:11991711-11991711
chr12:50154444-50154444	chr12:51868177-51868177
chr14:75177992-75177992	chr14:76108239-76108239
chr3:188243224-188243224	chr3:186760530-186760530
chr5:140511546-140511546	chr5:140531362-140531362
chrX:13247899-13247899	chrX:13337978-13337978
chr17:44601243-44601243	chr17:47246244-47246244
chr4:46000371-46000371	chr4:46305614-46305614
chr8:29060931-29060931	chr8:29005012-29005012
chr7:127009794-127009794	chr7:127222558-127222558
chr1:226549246-226549246	chr1:228482623-228482623
chr19:38064704-38064704	chr19:33372864-33372864
chr16:24488810-24488810	chr16:24581309-24581309
chr7:92901499-92901499	chr7:93063563-93063563
chr3:19359198-19359198	chr3:19384194-19384194
chr5:65001846-65001846	chr5:64966090-64966090
chr13:113200781-113200781	chr13:114152780-114152780
chr2:210266160-210266160	chr2:210557915-210557915
chr6:159108332-159108332	chr6:159188344-159188344
chr16:56158923-56158923	chr16:57601422-57601422
chr1:12877485-12877485	chr1:12954898-12954898
chr12:61212493-61212493	chr12:62926226-62926226
chr11:55362950-55362950	chr11:55606374-55606374
chr1:145141862-145141862	chr1:146675238-146675238
chr3:55708477-55708477	chr3:55733437-55733437
chr3:38332911-38332911	chr3:38357907-38357907
chr9:124313625-124313625	chr9:125273804-125273804
chr19:61115621-61115621	chr19:56423809-56423809
chr19:61728061-61728061	chr19:57036249-57036249
chrX:120009756-120009759	chrX:120182075-120182078
chr14:37793569-37793569	chr14:38723818-38723818
chr21:9963836-9963836	chr21:10941965-10941965
chr19:60109946-60109946	chr19:55418134-55418134
chr4:4227650-4227650	chr4:4176749-4176749
chr14:94304596-94304596	chr14:95234843-95234843
chr8:121367352-121367352	chr8:121298171-121298171
chr19:54188116-54188116	chr19:49496304-49496304
chr2:127735342-127735342	chr2:128018872-128018872
chr15:70428576-70428576	chr15:72641522-72641522
chr8:133257032-133257032	chr8:133187850-133187850
chr8:35725739-35725739	chr8:35606197-35606197
chr15:42675808-42675808	chr15:44888516-44888516
chr8:124509357-124509357	chr8:124440176-124440176
chr13:111770000-111770000	chr13:112721999-112721999
chr17:44430143-44430143	chr17:47075144-47075144
chr20:9324218-9324218	chr20:9376218-9376218
chr2:204530828-204530828	chr2:204822583-204822583
chr5:131634585-131634585	chr5:131606686-131606686
chr1:164512510-164512510	chr1:166245886-166245886
chr16:20074841-20074841	chr16:20167340-20167340
chr7:19731911-19731937	chr7:19765386-19765412
chr19:8950322-8950322	chr19:9089322-9089322
chr7:149150195-149150195	chr7:149519262-149519262
chr14:80321193-80321193	chr14:81251440-81251440
chr6:32120897-32120897	chr6:32012919-32012919
chr4:23425127-23425127	chr4:23816029-23816029
chr20:30152901-30152901	chr20:30689240-30689240
chr17:19225092-19225092	chr17:19284499-19284499
chr4:141819708-141819714	chr4:141600258-141600264
chr2:189608049-189608049	chr2:189899804-189899804
chr2:26385946-26385946	chr2:26532442-26532442
chr3:120738761-120738761	chr3:119256071-119256071
chr11:89554504-89554504	chr11:89914856-89914856
chr12:52167328-52167328	chr12:53881061-53881061
chr11:76657209-76657209	chr11:76979561-76979561
chr3:132664369-132664369	chr3:131181679-131181679
chr4:84057961-84057961	chr4:83838937-83838937
chr17:71081261-71081261	chr17:73569666-73569666
chr7:107210987-107210987	chr7:107423751-107423751
chr1:149797021-149797021	chr1:151530397-151530397
chr5:98252689-98252689	chr5:98224789-98224789
chr1:2928268-2928268	chr1:2938408-2938408
chr1:199220676-199220676	chr1:200954053-200954053
chr18:19368408-19368408	chr18:21114410-21114410
chr16:9093507-9093507	chr16:9186006-9186006
chr7:150400111-150400111	chr7:150769178-150769178
chr4:77491926-77491926	chr4:77272902-77272902
chr12:7192904-7192904	chr12:7301637-7301637
chr19:46134247-46134247	chr19:41442407-41442407
chr11:71623247-71623247	chr11:71945599-71945599
chrX:131016452-131016452	chrX:131188771-131188771
chr13:21173396-21173396	chr13:22275396-22275396
chrX:48916793-48916793	chrX:49029849-49029849
chr12:53042901-53042901	chr12:54756634-54756634
chr17:4740629-4740629	chr17:4799853-4799853
chr1:188333923-188333923	chr1:190067300-190067300
chr1:233412331-233412331	chr1:235345708-235345708
chr4:166201076-166201076	chr4:165981626-165981626
chr18:9245428-9245428	chr18:9255428-9255428
chr12:25289551-25289551	chr12:25398284-25398284
chr9:122960969-122960969	chr9:123921148-123921148
chr9:130283710-130283710	chr9:131243889-131243889
chr10:103361497-103361497	chr10:103371507-103371507
chr17:71245005-71245005	chr17:73733410-73733410
chr3:150227311-150227311	chr3:148744621-148744621
chr1:159602078-159602078	chr1:161335454-161335454
chr6:41107432-41107432	chr6:40999454-40999454
chr2:208897160-208897160	chr2:209188915-209188915
chr16:87899164-87899164	chr16:89371663-89371663
chr17:75852138-75852138	chr17:78237543-78237543
chr1:11841061-11841061	chr1:11918474-11918474
chr12:7152208-7152208	chr12:7260932-7260932
chr2:48610609-48610609	chr2:48757105-48757105
chr7:100467770-100467770	chr7:100681050-100681050
chr11:92173495-92173495	chr11:92533847-92533847
chr3:121230524-121230524	chr3:119747834-119747834
chr19:63541726-63541726	chr19:58849914-58849914
chr12:56308287-56308287	chr12:58022020-58022020
chr2:74443794-74443794	chr2:74590286-74590286
chr6:31842943-31842943	chr6:31734964-31734964
chr16:46768347-46768347	chr16:48210846-48210846
chr10:128137606-128137606	chr10:128147616-128147616
chr17:10245175-10245175	chr17:10304450-10304450
chr2:208824508-208824508	chr2:209116263-209116263
chr1:246683387-246683387	chr1:248616764-248616764
chr7:157080721-157080721	chr7:157387960-157387960
chr4:72059814-72059814	chr4:71840950-71840950
chr19:53570792-53570792	chr19:48878980-48878980
chr17:42823909-42823909	chr17:45468910-45468910
chr7:64076013-64076013	chr7:64438578-64438578
chr16:27361798-27361798	chr16:27454297-27454297
chr22:28243092-28243092	chr22:29913092-29913092
chr4:9307449-9307449	chr4:9698351-9698351
chr6:31192462-31192462	chr6:31084483-31084483
chr6:33441497-33441497	chr6:33333519-33333519
chr2:63520403-63520403	chr2:63666899-63666899
chr13:48684414-48684414	chr13:49786413-49786413
chr17:3326399-3326399	chr17:3379649-3379649
chr9:85691835-85691835	chr9:86502015-86502015
chr6:12232064-12232064	chr6:12124078-12124078
chr5:140544037-140544037	chr5:140563853-140563853
chr6:83905393-83905393	chr6:83848674-83848674
chr2:158107515-158107515	chr2:158399269-158399269
chr1:151658399-151658399	chr1:153391775-153391775
chr19:11921471-11921471	chr19:12060471-12060471
chr16:55088382-55088382	chr16:56530881-56530881
chr2:172356338-172356338	chr2:172648092-172648092
chr18:8103615-8103615	chr18:8113615-8113615
chr10:83505-83505	chr10:93505-93505
chr2:190035503-190035503	chr2:190327258-190327258
chr3:103679033-103679033	chr3:102196343-102196343
chr10:112333283-112333283	chr10:112343293-112343293
chr2:121709281-121709281	chr2:121992811-121992811
chr20:35291859-35291859	chr20:35858445-35858445
chr11:62171305-62171305	chr11:62414729-62414729
chr22:21319594-21319594	chr22:22989594-22989594
chr1:219037891-219037891	chr1:220971268-220971268
chr3:36754140-36754140	chr3:36779136-36779136
chr9:32622136-32622136	chr9:32632136-32632136
chr6:27968646-27968646	chr6:27860667-27860667
chr4:159838258-159838258	chr4:159618808-159618808
chr4:75072574-75072574	chr4:74853710-74853710
chr5:28963168-28963168	chr5:28927411-28927411
chr22:35933318-35933318	chr22:37603372-37603372
chr2:192276516-192276516	chr2:192568271-192568271
chr7:2439141-2439141	chr7:2472615-2472615
chr5:139212749-139212749	chr5:139232565-139232565
chr8:41734793-41734793	chr8:41615636-41615636
chr10:55519755-55519755	chr10:55849749-55849749
chr10:69253141-69253141	chr10:69583135-69583135
chr19:1208190-1208190	chr19:1257190-1257190
chr19:11778874-11778874	chr19:11917874-11917874
chr19:53229299-53229299	chr19:48537487-48537487
chr2:179113215-179113215	chr2:179404969-179404969
chr14:52024901-52024902	chr14:52955151-52955152
chr7:128264793-128264793	chr7:128477557-128477557
chr1:149796474-149796481	chr1:151529850-151529857
chr3:185535286-185535286	chr3:184052592-184052592
chr7:86914322-86914322	chr7:87076386-87076386
chr1:97937689-97937689	chr1:98165101-98165101
chr10:69180300-69180300	chr10:69510294-69510294
chr7:53071284-53071284	chr7:53103790-53103790
chr2:210350488-210350488	chr2:210642243-210642243
